Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
matrix;cooley_tukey.c;25;1.211181879043579;0-1;Single bit-flip
i;cooley_tukey.c;32;1.4343302249908447;0-1;Single bit-flip
input;cooley_tukey.c;54;0.6679062843322754;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4160022735595703;0-1;Single bit-flip
n;cooley_tukey.c;25;0.2634847164154053;0-1;Single bit-flip
_rtld_global;rtld.c;140;0.1553959846496582;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.828035831451416;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.2193334102630615;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.5323705673217773;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.4543461799621582;0-1;Single bit-flip
line;cooley_tukey.c;55;1.1106925010681152;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.7442400455474854;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0956037044525146;0-1;Single bit-flip
n;cooley_tukey.c;25;1.5095560550689697;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.9724726676940918;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.7182841300964355;0-1;Single bit-flip
argv;cooley_tukey.c;46;1.1582331657409668;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1618058681488037;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.158578872680664;0-1;Single bit-flip
n;cooley_tukey.c;25;1.619356632232666;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.719017744064331;0-1;Single bit-flip
n;cooley_tukey.c;25;1.024167776107788;0-1;Single bit-flip
_rtld_local_ro;rtld.c;202;0.7234175205230713;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.5232620239257812;0-1;Single bit-flip
n;cooley_tukey.c;25;1.8081591129302979;0-1;Single bit-flip
n;cooley_tukey.c;25;1.337883710861206;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6880271434783936;0-1;Single bit-flip
n;cooley_tukey.c;25;1.3429412841796875;0-1;Single bit-flip
n;cooley_tukey.c;25;1.6472771167755127;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1435420513153076;0-1;Single bit-flip
n;cooley_tukey.c;25;1.09511137008667;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;1.000525712966919;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.7714340686798096;0-1;Single bit-flip
n;cooley_tukey.c;25;1.489497423171997;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.5910816192626953;0-1;Single bit-flip
argv;cooley_tukey.c;46;0.7188966274261475;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.061049461364746;0-1;Single bit-flip
n;cooley_tukey.c;25;0.6122362613677979;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.5236258506774902;0-1;Single bit-flip
n;cooley_tukey.c;25;1.6030385494232178;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1514403820037842;0-1;Single bit-flip
n;cooley_tukey.c;25;0.8639950752258301;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.5162451267242432;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.0038526058197021;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0311453342437744;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.9489569664001465;0-1;Single bit-flip
n;cooley_tukey.c;6;1.084871768951416;0-1;Single bit-flip
argv;cooley_tukey.c;46;0.32984399795532227;0-1;Single bit-flip
n;cooley_tukey.c;25;1.3632559776306152;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.19401812553405762;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8335404396057129;0-1;Single bit-flip
_dl_argv;rtld.c;86;0.6945393085479736;0-1;Single bit-flip
n;cooley_tukey.c;25;1.186668872833252;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1475884914398193;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8756883144378662;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.34722185134887695;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1976006031036377;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.8056232929229736;0-1;Single bit-flip
size;cooley_tukey.c;59;0.7275500297546387;0-1;Single bit-flip
n;cooley_tukey.c;25;0.6875;0-1;Single bit-flip
n;cooley_tukey.c;25;1.62968111038208;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;1.075744867324829;0-1;Single bit-flip
n;cooley_tukey.c;25;0.45026683807373047;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.6626935005187988;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6997156143188477;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8088750839233398;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.8009207248687744;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.8320317268371582;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.2399771213531494;0-1;Single bit-flip
i;cooley_tukey.c;32;0.9870898723602295;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.9357621669769287;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.0834660530090332;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4766862392425537;0-1;Single bit-flip
n;cooley_tukey.c;25;0.49313783645629883;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8900187015533447;0-1;Single bit-flip
n;cooley_tukey.c;25;0.46191835403442383;0-1;Single bit-flip
position;cooley_tukey.c;60;1.0351791381835938;0-1;Single bit-flip
input;cooley_tukey.c;54;0.6240863800048828;0-1;Single bit-flip
n;cooley_tukey.c;25;0.2784430980682373;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0735704898834229;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9110727310180664;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0167245864868164;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.9174239635467529;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4989233016967773;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.665342092514038;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.40743350982666016;0-1;Single bit-flip
n;cooley_tukey.c;25;1.155808448791504;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.7492241859436035;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.5421512126922607;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.2148990631103516;0-1;Single bit-flip
n;cooley_tukey.c;25;0.6756441593170166;0-1;Single bit-flip
argv;cooley_tukey.c;46;0.6420552730560303;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.0546202659606934;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.786851167678833;0-1;Single bit-flip
size;cooley_tukey.c;59;0.7380280494689941;0-1;Single bit-flip
argv;cooley_tukey.c;46;0.18284988403320312;0-1;Single bit-flip
n;cooley_tukey.c;25;1.2397074699401855;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6196804046630859;0-1;Single bit-flip
n;cooley_tukey.c;25;0.65480637550354;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1869664192199707;0-1;Single bit-flip
_rtld_local_ro;rtld.c;202;0.47739124298095703;0-1;Single bit-flip
n;cooley_tukey.c;25;0.6331984996795654;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.2128489017486572;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.451371431350708;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1465840339660645;0-1;Single bit-flip
matrix;cooley_tukey.c;6;1.2489111423492432;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1930770874023438;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.7716004848480225;0-1;Single bit-flip
n;cooley_tukey.c;25;1.612297534942627;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.8364996910095215;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7543535232543945;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.57582688331604;0-1;Single bit-flip
n;cooley_tukey.c;25;0.596224308013916;0-1;Single bit-flip
n;cooley_tukey.c;25;1.253007173538208;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.6657161712646484;0-1;Single bit-flip
matrix;cooley_tukey.c;76;0.7349622249603271;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.8943619728088379;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.5874984264373779;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.40438079833984375;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.7035531997680664;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.503145694732666;0-1;Single bit-flip
n;cooley_tukey.c;25;1.2488737106323242;0-1;Single bit-flip
n;cooley_tukey.c;25;0.8832724094390869;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9509756565093994;0-1;Single bit-flip
n;cooley_tukey.c;25;0.89438796043396;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0357224941253662;0-1;Single bit-flip
i;cooley_tukey.c;32;1.1895577907562256;0-1;Single bit-flip
matrix;cooley_tukey.c;76;0.8439173698425293;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.31686949729919434;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.02193284034729;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9509649276733398;0-1;Single bit-flip
n;cooley_tukey.c;25;1.5751519203186035;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.2048358917236328;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.44805407524108887;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6558339595794678;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6577897071838379;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0050852298736572;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.3983626365661621;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.230372428894043;0-1;Single bit-flip
n;cooley_tukey.c;25;1.735870599746704;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7170007228851318;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0802512168884277;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1832044124603271;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0875661373138428;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.7191848754882812;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7012293338775635;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.46329689025878906;0-1;Single bit-flip
n;iogetdelim.c;40;0.606316328048706;0-1;Single bit-flip
argv;cooley_tukey.c;46;0.7187802791595459;0-1;Single bit-flip
n;cooley_tukey.c;25;0.5269300937652588;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4278478622436523;0-1;Single bit-flip
_rtld_local_ro;rtld.c;202;0.5188107490539551;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7113876342773438;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4859676361083984;0-1;Single bit-flip
matrix;cooley_tukey.c;76;0.9737398624420166;0-1;Single bit-flip
n;cooley_tukey.c;25;0.24880695343017578;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6763677597045898;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4312996864318848;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.835916519165039;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.3119332790374756;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.5701677799224854;0-1;Single bit-flip
n;cooley_tukey.c;25;0.6469409465789795;0-1;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6951022148132324;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.6626570224761963;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0700278282165527;0-1;Single bit-flip
n;cooley_tukey.c;25;0.8473315238952637;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8496286869049072;0-1;Single bit-flip
i;cooley_tukey.c;32;1.3702435493469238;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.010497808456421;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.3906872272491455;0-1;Single bit-flip
n;cooley_tukey.c;25;1.686141014099121;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8939511775970459;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.3396575450897217;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.9713211059570312;0-1;Single bit-flip
__GI__dl_argv;rtld.c;83;0.6628584861755371;0-1;Single bit-flip
n;cooley_tukey.c;25;0.2896149158477783;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6502852439880371;0-1;Single bit-flip
heap;cooley_tukey.c;8;1.069972038269043;0-1;Single bit-flip
_rtld_global_ro;rtld.c;168;0.15175294876098633;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8268942832946777;0-1;Single bit-flip
_dl_skip_args;rtld.c;84;0.8178017139434814;0-1;Single bit-flip
n;cooley_tukey.c;25;1.3525066375732422;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.999218225479126;0-1;Single bit-flip
