Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;cooley_tukey.c;25;0.6813538074493408;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.8352105617523193;0-1;Single bit-flip
n;cooley_tukey.c;25;1.3559832572937012;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1515023708343506;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.6044819355010986;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7080974578857422;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.3098816871643066;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.49013376235961914;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6983473300933838;0-1;Single bit-flip
output;cooley_tukey.c;88;0.8418021202087402;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.0242938995361328;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.0167927742004395;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1034395694732666;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.7049131393432617;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4402055740356445;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.1132605075836182;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.5419197082519531;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9205188751220703;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.2624385356903076;0-1;Single bit-flip
n;cooley_tukey.c;25;1.2231359481811523;0-1;Single bit-flip
n;cooley_tukey.c;25;1.2838575839996338;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0344185829162598;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7855086326599121;0-1;Single bit-flip
sinix;s_cexp.c;40;0.6863627433776855;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.569666862487793;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.45719099044799805;0-1;Single bit-flip
size;cooley_tukey.c;59;0.7765262126922607;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.6200275421142578;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.2941246032714844;0-1;Single bit-flip
n;cooley_tukey.c;25;0.3171217441558838;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4716382026672363;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0834999084472656;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.3696126937866211;0-1;Single bit-flip
n;cooley_tukey.c;25;0.897723913192749;0-1;Single bit-flip
n;cooley_tukey.c;25;0.8008847236633301;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.4392051696777344;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9373085498809814;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.6293623447418213;0-1;Single bit-flip
n;cooley_tukey.c;25;1.167954444885254;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.670163631439209;0-1;Single bit-flip
n;cooley_tukey.c;25;1.151362657546997;0-1;Single bit-flip
n;cooley_tukey.c;25;1.2935097217559814;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1857185363769531;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4959237575531006;0-1;Single bit-flip
n;cooley_tukey.c;25;0.7568087577819824;0-1;Single bit-flip
n;cooley_tukey.c;25;1.5350453853607178;0-1;Single bit-flip
matrix;cooley_tukey.c;76;1.454956293106079;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0328969955444336;0-1;Single bit-flip
orig;../sysdeps/ieee754/dbl-64/s_sin.c;770;1.783064842224121;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9848284721374512;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0324866771697998;0-1;Single bit-flip
size;cooley_tukey.c;59;1.5222299098968506;0-1;Single bit-flip
n;cooley_tukey.c;25;0.9993002414703369;0-1;Single bit-flip
cosix;s_cexp.c;40;0.44131922721862793;0-1;Single bit-flip
matrix;cooley_tukey.c;25;0.4536855220794678;0-1;Single bit-flip
n;cooley_tukey.c;25;1.0778007507324219;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.280289888381958;0-1;Single bit-flip
n;cooley_tukey.c;25;1.6609866619110107;0-1;Single bit-flip
n;cooley_tukey.c;25;1.494821310043335;0-1;Single bit-flip
n;cooley_tukey.c;25;1.1274352073669434;0-1;Single bit-flip
n;cooley_tukey.c;25;1.4197471141815186;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.205991506576538;0-1;Single bit-flip
matrix;cooley_tukey.c;25;1.6478335857391357;0-1;Single bit-flip
