PVF ;flips ;SDCs ;Var name ;file ;line number
65.15912897822446;597;389;n;cooley_tukey.c;25
45.42635658914729;645;293;matrix;cooley_tukey.c;25
56.896551724137936;58;33;sinix;s_cexp.c;40
87.09677419354838;31;27;size;cooley_tukey.c;59
4.012345679012346;648;26;i;cooley_tukey.c;32
68.0;25;17;matrix;cooley_tukey.c;76
21.53846153846154;65;14;cosix;s_cexp.c;40
55.55555555555556;9;5;three51;../sysdeps/ieee754/dbl-64/uexp.h;65
100.0;5;5;negative;../stdlib/strtol_l.c;228
14.285714285714285;28;4;position;cooley_tukey.c;60
37.5;8;3;orig;../sysdeps/ieee754/dbl-64/s_sin.c;770
18.75;16;3;delimiter;iogetdelim.c;40
7.6923076923076925;26;2;output;cooley_tukey.c;88
33.33333333333333;3;1;i;cooley_tukey.c;9
12.5;8;1;n;cooley_tukey.c;6
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/s_sin.c;468
100.0;1;1;x;../sysdeps/ieee754/dbl-64/s_sincos.c;62
3.571428571428571;28;1;line;cooley_tukey.c;55
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/dosincos.c;63
100.0;1;1;hp0;../sysdeps/ieee754/dbl-64/dosincos.h;75
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/s_sin.c;170
16.666666666666664;6;1;matrix;cooley_tukey.c;6
