Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
matrix;cooley_tukey.cpp;28;1.3582141399383545;0-7;Double bit-flip
size;cooley_tukey.cpp;53;3.517591953277588;0-7;Double bit-flip
i;cooley_tukey.cpp;83;4.136071443557739;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;1.1535308361053467;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;3.1949331760406494;0-7;Double bit-flip
n;cooley_tukey.cpp;28;2.3595128059387207;0-7;Double bit-flip
i;cooley_tukey.cpp;35;2.9291155338287354;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;1.7306115627288818;0-7;Double bit-flip
i;cooley_tukey.cpp;83;5.573778867721558;0-7;Double bit-flip
n;cooley_tukey.cpp;28;1.297882318496704;0-7;Double bit-flip
i;cooley_tukey.cpp;83;4.949686765670776;0-7;Double bit-flip
matrix;cooley_tukey.cpp;66;6.032130479812622;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;2.1405158042907715;0-7;Double bit-flip
evens;cooley_tukey.cpp;38;3.6369481086730957;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;2.6779797077178955;0-7;Double bit-flip
n;cooley_tukey.cpp;28;3.2835264205932617;0-7;Double bit-flip
size;cooley_tukey.cpp;53;3.672959804534912;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;3.119323968887329;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;3.0103912353515625;0-7;Double bit-flip
size;cooley_tukey.cpp;53;5.635878086090088;0-7;Double bit-flip
n;cooley_tukey.cpp;28;1.2315044403076172;0-7;Double bit-flip
__z;/usr/include/c++/6/complex;1321;3.952982187271118;0-7;Double bit-flip
__y;/usr/include/c++/6/complex;386;3.5034661293029785;0-7;Double bit-flip
size;cooley_tukey.cpp;53;6.313527584075928;0-7;Double bit-flip
n;cooley_tukey.cpp;28;3.007746696472168;0-7;Double bit-flip
i;cooley_tukey.cpp;83;7.074453115463257;0-7;Double bit-flip
size;cooley_tukey.cpp;53;6.466145038604736;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;2.4835634231567383;0-7;Double bit-flip
matrix;cooley_tukey.cpp;66;4.988301038742065;0-7;Double bit-flip
i;cooley_tukey.cpp;83;5.260937213897705;0-7;Double bit-flip
cosix;s_cexp.c;40;1.7378346920013428;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;1.5789146423339844;0-7;Double bit-flip
n;cooley_tukey.cpp;28;0.7099285125732422;0-7;Double bit-flip
i;cooley_tukey.cpp;83;6.62153697013855;0-7;Double bit-flip
matrix;cooley_tukey.cpp;28;2.9845285415649414;0-7;Double bit-flip
i;cooley_tukey.cpp;83;5.223566055297852;0-7;Double bit-flip
__y;/usr/include/c++/6/complex;386;1.273850679397583;0-7;Double bit-flip
