Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;cooley_tukey.cpp;28;1.4912147521972656;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.7772550582885742;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7526166439056396;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3709228038787842;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.550635576248169;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9181594848632812;0-4;Single bit-flip
_dl_skip_args;rtld.c;84;1.0325844287872314;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7833950519561768;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.409696102142334;0-4;Single bit-flip
position;cooley_tukey.cpp;68;0.5814673900604248;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.6860814094543457;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3525652885437012;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8622448444366455;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9479219913482666;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7525887489318848;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6899356842041016;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9691548347473145;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.988128662109375;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.686295986175537;0-4;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7726297378540039;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1441056728363037;0-4;Single bit-flip
argv;cooley_tukey.cpp;49;1.940769910812378;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.6754837036132812;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2107479572296143;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.3560431003570557;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0407812595367432;0-4;Single bit-flip
argv;cooley_tukey.cpp;49;0.7616097927093506;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9460289478302002;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.2952847480773926;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2623956203460693;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0547332763671875;0-4;Single bit-flip
i;cooley_tukey.cpp;35;1.6465349197387695;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1504204273223877;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1289641857147217;0-4;Single bit-flip
_r_debug;dl-debug.c;37;0.9777588844299316;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.8172643184661865;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.9083249568939209;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7988839149475098;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.383941650390625;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.301935911178589;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0437650680541992;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3647675514221191;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8434364795684814;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2599542140960693;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2370285987854004;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.551954984664917;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6567747592926025;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3796279430389404;0-4;Single bit-flip
size;cooley_tukey.cpp;53;1.231717586517334;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.8639273643493652;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6374640464782715;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.2245590686798096;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.9214036464691162;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6173217296600342;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0661413669586182;0-4;Single bit-flip
matrix;cooley_tukey.cpp;11;1.2988789081573486;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.753622055053711;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.222862958908081;0-4;Single bit-flip
position;cooley_tukey.cpp;68;0.7598738670349121;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8642466068267822;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6375558376312256;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.785858392715454;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.566890001296997;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0834083557128906;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.319784164428711;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.1159842014312744;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1733109951019287;0-4;Single bit-flip
this;cooley_tukey.cpp;0;0.816596508026123;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.661890983581543;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.5196576118469238;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9999687671661377;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6200792789459229;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2411315441131592;0-4;Single bit-flip
_dl_skip_args;rtld.c;84;0.6381382942199707;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2126412391662598;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.3893520832061768;0-4;Single bit-flip
int_no;strtod_l.c;506;0.6066474914550781;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.306410789489746;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3874938488006592;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2236740589141846;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.027604579925537;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.107348918914795;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.7201597690582275;0-4;Single bit-flip
argv;cooley_tukey.cpp;49;0.9059309959411621;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.5530707836151123;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.7344245910644531;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.5751609802246094;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6674885749816895;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.427839994430542;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2315833568572998;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.5083749294281006;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6091036796569824;0-4;Single bit-flip
size;cooley_tukey.cpp;53;0.8330528736114502;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9261505603790283;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4023373126983643;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.6702735424041748;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.665177822113037;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6333720684051514;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4972410202026367;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7168796062469482;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5951502323150635;0-4;Single bit-flip
endptr;strtod_l.c;479;1.2855677604675293;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2939605712890625;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3939781188964844;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8841135501861572;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3393611907958984;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8315751552581787;0-4;Single bit-flip
position;cooley_tukey.cpp;68;1.0607187747955322;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2234244346618652;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.1407630443573;0-4;Single bit-flip
matrix;cooley_tukey.cpp;11;1.4254050254821777;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0386357307434082;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3949470520019531;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5302023887634277;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.263899803161621;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3713665008544922;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.234593152999878;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.1497693061828613;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5147230625152588;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4213950634002686;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.623044490814209;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5635769367218018;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8023607730865479;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3880186080932617;0-4;Single bit-flip
position;cooley_tukey.cpp;68;1.0531749725341797;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2439255714416504;0-4;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.31160569190979004;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.07670259475708;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.439037799835205;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.4795632362365723;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.42133021354675293;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.3648037910461426;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.015409231185913;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7488653659820557;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0228288173675537;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.431391716003418;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.8827338218688965;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5913679599761963;0-4;Single bit-flip
_dl_skip_args;rtld.c;84;0.3014049530029297;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.901430606842041;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.0738558769226074;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.1304311752319336;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9038002490997314;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9577770233154297;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.054879665374756;0-4;Single bit-flip
argv;cooley_tukey.cpp;49;0.6501755714416504;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9772779941558838;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.4555716514587402;0-4;Single bit-flip
size;cooley_tukey.cpp;53;0.8071832656860352;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.179985761642456;0-4;Single bit-flip
argv;cooley_tukey.cpp;49;1.7529478073120117;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3346846103668213;0-4;Single bit-flip
