Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
workstart;vfprintf.c;1257;2.3993208408355713;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2588791847229004;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.205254316329956;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.9715313911437988;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.170597791671753;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.3923428058624268;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.5275979042053223;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1849379539489746;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0044798851013184;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7048087120056152;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3605995178222656;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.434641122817993;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.2745249271392822;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.5195555686950684;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0634524822235107;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.576563835144043;0-4;Single bit-flip
odds;cooley_tukey.cpp;39;1.4951598644256592;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.5214512348175049;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.1963772773742676;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5067076683044434;0-4;Single bit-flip
i;cooley_tukey.cpp;83;4.125834941864014;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.3002967834472656;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.3120670318603516;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.48685216903686523;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7190377712249756;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.6200673580169678;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1998326778411865;0-4;Single bit-flip
i;cooley_tukey.cpp;14;1.8323469161987305;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.4920899868011475;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1484489440917969;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.9877231121063232;0-4;Single bit-flip
n;cooley_tukey.cpp;28;2.0524728298187256;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.4036049842834473;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2834854125976562;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.9258012771606445;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.891484260559082;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7175095081329346;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.609304189682007;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.4235341548919678;0-4;Single bit-flip
cosix;s_cexp.c;40;2.1655094623565674;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7616493701934814;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.5750200748443604;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.098761558532715;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.2292654514312744;0-4;Single bit-flip
x;../sysdeps/ieee754/dbl-64/s_sincos.c;62;2.6088411808013916;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1927156448364258;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;2.7308294773101807;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7812201976776123;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.341399908065796;0-4;Single bit-flip
cosix;s_cexp.c;40;1.2382655143737793;0-4;Single bit-flip
sf;vsnprintf.c;96;2.6901416778564453;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.828979730606079;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.1554431915283203;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;3.6315648555755615;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1760001182556152;0-4;Single bit-flip
size;cooley_tukey.cpp;53;4.324652910232544;0-4;Single bit-flip
odds;cooley_tukey.cpp;39;1.009305715560913;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.168562412261963;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.190300226211548;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.946847677230835;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.69911527633667;0-4;Single bit-flip
size;cooley_tukey.cpp;53;2.435157537460327;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0479261875152588;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.7948548793792725;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8578572273254395;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7409484386444092;0-4;Single bit-flip
evens;cooley_tukey.cpp;38;0.4763667583465576;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.7489073276519775;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1363475322723389;0-4;Single bit-flip
i;cooley_tukey.cpp;83;3.4739737510681152;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.7809133529663086;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.6484699249267578;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.8399064540863037;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0637238025665283;0-4;Single bit-flip
size;cooley_tukey.cpp;53;3.0874879360198975;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1625189781188965;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0184330940246582;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.1571910381317139;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;0.8137350082397461;0-4;Single bit-flip
matrix;cooley_tukey.cpp;66;0.7216575145721436;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.501725196838379;0-4;Single bit-flip
twiddle;cooley_tukey.cpp;40;1.8391716480255127;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.8465211391448975;0-4;Single bit-flip
i;cooley_tukey.cpp;83;2.6134026050567627;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.556396722793579;0-4;Single bit-flip
i;cooley_tukey.cpp;35;1.7746481895446777;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.5975964069366455;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;2.133812665939331;0-4;Single bit-flip
n;cooley_tukey.cpp;28;1.0089647769927979;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.467348337173462;0-4;Single bit-flip
n;cooley_tukey.cpp;28;0.937197208404541;0-4;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4050166606903076;0-4;Single bit-flip
