Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
matrix;cooley_tukey.cpp;28;2.878359079360962;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.8923261165618896;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.690861463546753;0-6;Double bit-flip
n;cooley_tukey.cpp;11;2.5525598526000977;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;0.6662421226501465;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.7764296531677246;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.9938678741455078;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.8643901348114014;0-6;Double bit-flip
position;cooley_tukey.cpp;68;0.5812814235687256;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.1993980407714844;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.195620536804199;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.5035243034362793;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.8892288208007812;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.283794641494751;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.474623441696167;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.6017141342163086;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.894059896469116;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.022145986557007;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.8091275691986084;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.5464491844177246;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.5241413116455078;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.110112190246582;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.5974395275115967;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.6710100173950195;0-6;Double bit-flip
position;cooley_tukey.cpp;68;0.7007124423980713;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.4233314990997314;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.5762345790863037;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3803815841674805;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.9840214252471924;0-6;Double bit-flip
size;cooley_tukey.cpp;53;0.5397260189056396;0-6;Double bit-flip
argv;cooley_tukey.cpp;49;0.841010332107544;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.8479466438293457;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.3853106498718262;0-6;Double bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7020673751831055;0-6;Double bit-flip
grouping;strtod_l.c;530;1.1184651851654053;0-6;Double bit-flip
this;cooley_tukey.cpp;0;3.6409544944763184;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.3296477794647217;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.2965333461761475;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.1557815074920654;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.7835376262664795;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.283510208129883;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.3321642875671387;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.402944803237915;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.468707323074341;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.524355173110962;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.7864608764648438;0-6;Double bit-flip
_dl_skip_args;rtld.c;84;0.4847908020019531;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.7454028129577637;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.7492220401763916;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.5498735904693604;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.3863909244537354;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6801512241363525;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.686298370361328;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.0374228954315186;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.026008367538452;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;0.6787536144256592;0-6;Double bit-flip
i;cooley_tukey.cpp;35;1.9760305881500244;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.874788522720337;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.5541491508483887;0-6;Double bit-flip
i;cooley_tukey.cpp;35;3.268535614013672;0-6;Double bit-flip
