Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
matrix;cooley_tukey.cpp;28;2.9036550521850586;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;4.704707384109497;0-6;Double bit-flip
size;cooley_tukey.cpp;53;0.7465884685516357;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;466;2.968172073364258;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.193981647491455;0-6;Double bit-flip
evens;cooley_tukey.cpp;38;2.3472683429718018;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.7589690685272217;0-6;Double bit-flip
size;cooley_tukey.cpp;53;4.105524063110352;0-6;Double bit-flip
matrix;cooley_tukey.cpp;11;0.6572966575622559;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.6131086349487305;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.2801704406738281;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.4061083793640137;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.3909811973571777;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;3.007671594619751;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.575883388519287;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.0870368480682373;0-6;Double bit-flip
size;cooley_tukey.cpp;53;1.4150168895721436;0-6;Double bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;466;3.6308231353759766;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.6292810440063477;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.8966786861419678;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.062912702560425;0-6;Double bit-flip
n;cooley_tukey.cpp;28;1.795780897140503;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.1658246517181396;0-6;Double bit-flip
size;cooley_tukey.cpp;53;3.188936471939087;0-6;Double bit-flip
n;cooley_tukey.cpp;28;3.70820689201355;0-6;Double bit-flip
i;cooley_tukey.cpp;83;6.389971494674683;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.4754016399383545;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;1.6752607822418213;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;3.24564790725708;0-6;Double bit-flip
size;cooley_tukey.cpp;53;5.3045899868011475;0-6;Double bit-flip
matrix;cooley_tukey.cpp;66;3.615452766418457;0-6;Double bit-flip
size;cooley_tukey.cpp;53;0.36716794967651367;0-6;Double bit-flip
n;cooley_tukey.cpp;28;2.142767906188965;0-6;Double bit-flip
i;cooley_tukey.cpp;35;2.1280460357666016;0-6;Double bit-flip
matrix;cooley_tukey.cpp;28;2.014991521835327;0-6;Double bit-flip
matrix;cooley_tukey.cpp;11;2.2709271907806396;0-6;Double bit-flip
