Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;cooley_tukey.cpp;28;1.9648160934448242;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.432677984237671;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.002751588821411;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.735032320022583;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.748997688293457;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.076747417449951;0-6;Single bit-flip
n;cooley_tukey.cpp;11;1.5604116916656494;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.3849716186523438;0-6;Single bit-flip
argv;cooley_tukey.cpp;49;0.8340308666229248;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.5351340770721436;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8182249069213867;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.3177883625030518;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2679533958435059;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4956774711608887;0-6;Single bit-flip
size;cooley_tukey.cpp;53;0.7407846450805664;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.98519229888916;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1649620532989502;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.799323558807373;0-6;Single bit-flip
i;cooley_tukey.cpp;35;1.2083806991577148;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.4256036281585693;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.165347099304199;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.080233335494995;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3610830307006836;0-6;Single bit-flip
i;cooley_tukey.cpp;35;1.706549882888794;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8995587825775146;0-6;Single bit-flip
i;cooley_tukey.cpp;35;2.749786376953125;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.442005157470703;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.757575511932373;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8657407760620117;0-6;Single bit-flip
matrix;cooley_tukey.cpp;11;3.1085634231567383;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.698441982269287;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2856905460357666;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.9889264106750488;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.8169920444488525;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.9294426441192627;0-6;Single bit-flip
i;cooley_tukey.cpp;35;2.470036029815674;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.6801490783691406;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.3688342571258545;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.9110796451568604;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5015857219696045;0-6;Single bit-flip
n;cooley_tukey.cpp;11;2.4511795043945312;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.9424004554748535;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;0.9065494537353516;0-6;Single bit-flip
endptr;strtod_l.c;479;1.0685126781463623;0-6;Single bit-flip
_rtld_global_ro;rtld.c;259;0.722475528717041;0-6;Single bit-flip
endptr;strtod_l.c;479;1.2822844982147217;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.4488728046417236;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2002015113830566;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.4093146324157715;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.3482003211975098;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.791663408279419;0-6;Single bit-flip
_dl_skip_args;rtld.c;84;0.5989878177642822;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.2355706691741943;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.843855619430542;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.1154582500457764;0-6;Single bit-flip
argv;cooley_tukey.cpp;49;2.927738666534424;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.186872959136963;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8732283115386963;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.275428533554077;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.1730785369873047;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.8436243534088135;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.3628592491149902;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.7533955574035645;0-6;Single bit-flip
argv;cooley_tukey.cpp;49;2.356255292892456;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8042173385620117;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.9950318336486816;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.8619019985198975;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.3090760707855225;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.7879142761230469;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.278820514678955;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.628887414932251;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.590259552001953;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.5760371685028076;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.4645934104919434;0-6;Single bit-flip
position;cooley_tukey.cpp;68;1.0780527591705322;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.5482125282287598;0-6;Single bit-flip
this;cooley_tukey.cpp;0;2.2315773963928223;0-6;Single bit-flip
heap;cooley_tukey.cpp;13;2.1238160133361816;0-6;Single bit-flip
