Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;cooley_tukey.cpp;83;5.697810888290405;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.310019254684448;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8060681819915771;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.257038116455078;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;1.5243210792541504;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.8880691528320312;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.2025697231292725;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.9640464782714844;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;6.011302947998047;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.7905895709991455;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.2064626216888428;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.39684271812439;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.194807291030884;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.6455612182617188;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.845754384994507;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.450981140136719;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;1.9354453086853027;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.5375704765319824;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.8833065032958984;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.6043524742126465;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.087376356124878;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.870711326599121;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.9799199104309082;0-6;Single bit-flip
size;cooley_tukey.cpp;53;2.3967761993408203;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.700631618499756;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.377368450164795;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.703244686126709;0-6;Single bit-flip
twiddle;cooley_tukey.cpp;40;3.7337002754211426;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.108088493347168;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.939892292022705;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.5775759220123291;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.523381233215332;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;4.143866777420044;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.8887434005737305;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.1133506298065186;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.5766215324401855;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.4455485343933105;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.332385301589966;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.675508975982666;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.1859512329101562;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.5145423412323;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.486248254776001;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.059007883071899;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.8510231971740723;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.484313726425171;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.623836278915405;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.535851001739502;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.44259786605835;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.0591342449188232;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.3443784713745117;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.626312017440796;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.522716999053955;0-6;Single bit-flip
this;cooley_tukey.cpp;0;1.8368730545043945;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.6636455059051514;0-6;Single bit-flip
n;cooley_tukey.cpp;11;1.9932975769042969;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.6733126640319824;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.0653343200683594;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.665001153945923;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8710391521453857;0-6;Single bit-flip
sinix;s_cexp.c;40;2.242985963821411;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.0788769721984863;0-6;Single bit-flip
i;cooley_tukey.cpp;83;3.265907049179077;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.498887538909912;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.1677916049957275;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.7540500164031982;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.045821666717529;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.4759769439697266;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.3058185577392578;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.3760738372802734;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.91091251373291;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.010220289230347;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.069197416305542;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.588547945022583;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.717218637466431;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.928529977798462;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.489601373672485;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.706260442733765;0-6;Single bit-flip
__r;/usr/include/c++/6/complex;328;2.883545398712158;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.019357919692993;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.026891469955444;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.5948469638824463;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.470392942428589;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;3.004662036895752;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;1.3300094604492188;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.238095283508301;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.425689458847046;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.1710739135742188;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.3362205028533936;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.7862927913665771;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.183320760726929;0-6;Single bit-flip
a;../sysdeps/ieee754/dbl-64/s_sincos.c;80;1.414137601852417;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.5709719657897949;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.728252649307251;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.48626184463501;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.791358947753906;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.7210948467254639;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.479293584823608;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.406326770782471;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;4.054335594177246;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.3418169021606445;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.8914670944213867;0-6;Single bit-flip
i;cooley_tukey.cpp;35;3.354515552520752;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.983354330062866;0-6;Single bit-flip
n;cooley_tukey.cpp;28;0.7308783531188965;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.637650728225708;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.8435513973236084;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;5.069658279418945;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.6602797508239746;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.7579379081726074;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.41111946105957;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.0155112743377686;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.3359758853912354;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.7385618686676025;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.410893201828003;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.2570228576660156;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.419782400131226;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.896296262741089;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.178649663925171;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.6166799068450928;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.496922254562378;0-6;Single bit-flip
n;cooley_tukey.cpp;28;2.988464117050171;0-6;Single bit-flip
this;cooley_tukey.cpp;0;2.7480032444000244;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.086626768112183;0-6;Single bit-flip
cosix;s_cexp.c;40;1.5368545055389404;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.1751925945281982;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.0203814506530762;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.5266969203948975;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.635279178619385;0-6;Single bit-flip
size;cooley_tukey.cpp;53;3.9392788410186768;0-6;Single bit-flip
i;cooley_tukey.cpp;83;4.946078777313232;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;2.666733503341675;0-6;Single bit-flip
this;cooley_tukey.cpp;0;1.5000641345977783;0-6;Single bit-flip
i;cooley_tukey.cpp;83;5.531166315078735;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;6.721395254135132;0-6;Single bit-flip
__r;/usr/include/c++/6/complex;388;3.357944965362549;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.1455097198486328;0-6;Single bit-flip
size;cooley_tukey.cpp;53;5.460936546325684;0-6;Single bit-flip
size;cooley_tukey.cpp;53;6.187400817871094;0-6;Single bit-flip
matrix;cooley_tukey.cpp;28;1.4388141632080078;0-6;Single bit-flip
i;cooley_tukey.cpp;35;1.5776796340942383;0-6;Single bit-flip
matrix;cooley_tukey.cpp;66;3.7277112007141113;0-6;Single bit-flip
n;cooley_tukey.cpp;28;3.0984339714050293;0-6;Single bit-flip
size;cooley_tukey.cpp;53;4.167115926742554;0-6;Single bit-flip
i;cooley_tukey.cpp;83;3.8846945762634277;0-6;Single bit-flip
i;cooley_tukey.cpp;83;6.410723924636841;0-6;Single bit-flip
n;cooley_tukey.cpp;28;1.2586116790771484;0-6;Single bit-flip
