Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;fftw.cpp;10;1.218839406967163;0-2;Single bit-flip
size;fftw.cpp;10;0.4766972064971924;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.2392597198486328;0-2;Single bit-flip
argv;fftw.cpp;40;1.0828583240509033;0-2;Single bit-flip
argv;fftw.cpp;40;0.8661718368530273;0-2;Single bit-flip
mapp;dl-addr.c;27;0.5520217418670654;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9154770374298096;0-2;Single bit-flip
preloadlist;rtld.c;836;0.059641361236572266;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.39542222023010254;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5818977355957031;0-2;Single bit-flip
argv;fftw.cpp;40;1.3721201419830322;0-2;Single bit-flip
argv;fftw.cpp;40;0.562777042388916;0-2;Single bit-flip
_r_debug;dl-debug.c;37;0.715811014175415;0-2;Single bit-flip
argv;fftw.cpp;40;1.188288688659668;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.2712225914001465;0-2;Single bit-flip
_r_debug;dl-debug.c;37;0.38445210456848145;0-2;Single bit-flip
size;fftw.cpp;44;0.6010000705718994;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8746347427368164;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5507926940917969;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.17256498336792;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.31296563148498535;0-2;Single bit-flip
line;fftw.cpp;12;0.5319395065307617;0-2;Single bit-flip
argv;fftw.cpp;40;1.2721452713012695;0-2;Single bit-flip
argv;fftw.cpp;40;0.739764928817749;0-2;Single bit-flip
argv;fftw.cpp;40;0.5173060894012451;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.9961535930633545;0-2;Single bit-flip
argv;fftw.cpp;40;0.9045519828796387;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.44524502754211426;0-2;Single bit-flip
line;fftw.cpp;12;0.45505380630493164;0-2;Single bit-flip
_r_debug;dl-debug.c;37;0.5909254550933838;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;0.6100046634674072;0-2;Single bit-flip
position;fftw.cpp;27;0.6238038539886475;0-2;Single bit-flip
