Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;fftw.cpp;44;2.4345591068267822;0-2;Single bit-flip
size;fftw.cpp;44;1.211660623550415;0-2;Single bit-flip
size;fftw.cpp;44;0.4596116542816162;0-2;Single bit-flip
out;fftw.cpp;42;1.4906420707702637;0-2;Single bit-flip
out;fftw.cpp;42;1.1080389022827148;0-2;Single bit-flip
i;fftw.cpp;53;1.4250819683074951;0-2;Single bit-flip
i;fftw.cpp;53;1.0440704822540283;0-2;Single bit-flip
i;fftw.cpp;53;1.3149685859680176;0-2;Single bit-flip
size;fftw.cpp;44;2.333439350128174;0-2;Single bit-flip
size;fftw.cpp;44;0.6601991653442383;0-2;Single bit-flip
out;fftw.cpp;42;1.4473063945770264;0-2;Single bit-flip
size;fftw.cpp;44;1.9077818393707275;0-2;Single bit-flip
i;fftw.cpp;53;2.13146710395813;0-2;Single bit-flip
out;fftw.cpp;42;1.7680552005767822;0-2;Single bit-flip
size;fftw.cpp;44;1.5444653034210205;0-2;Single bit-flip
i;fftw.cpp;53;1.5625653266906738;0-2;Single bit-flip
size;fftw.cpp;44;1.8595075607299805;0-2;Single bit-flip
size;fftw.cpp;44;1.0061516761779785;0-2;Single bit-flip
i;fftw.cpp;53;1.9606051445007324;0-2;Single bit-flip
size;fftw.cpp;44;2.358975887298584;0-2;Single bit-flip
size;fftw.cpp;44;0.8011083602905273;0-2;Single bit-flip
i;fftw.cpp;53;1.5579588413238525;0-2;Single bit-flip
i;fftw.cpp;53;1.5801074504852295;0-2;Single bit-flip
size;fftw.cpp;44;1.2314088344573975;0-2;Single bit-flip
i;fftw.cpp;53;1.0000982284545898;0-2;Single bit-flip
i;fftw.cpp;53;1.9831438064575195;0-2;Single bit-flip
i;fftw.cpp;53;2.409405469894409;0-2;Single bit-flip
size;fftw.cpp;44;0.34511566162109375;0-2;Single bit-flip
out;fftw.cpp;42;1.4513511657714844;0-2;Single bit-flip
out;fftw.cpp;42;1.4272267818450928;0-2;Single bit-flip
i;fftw.cpp;53;1.6429657936096191;0-2;Single bit-flip
size;fftw.cpp;44;1.7995312213897705;0-2;Single bit-flip
size;fftw.cpp;44;1.6340954303741455;0-2;Single bit-flip
out;fftw.cpp;42;0.7947213649749756;0-2;Single bit-flip
i;fftw.cpp;53;1.4867467880249023;0-2;Single bit-flip
size;fftw.cpp;44;2.17079496383667;0-2;Single bit-flip
size;fftw.cpp;44;2.362917184829712;0-2;Single bit-flip
size;fftw.cpp;44;0.5921881198883057;0-2;Single bit-flip
i;fftw.cpp;53;1.1334648132324219;0-2;Single bit-flip
i;fftw.cpp;53;2.076314687728882;0-2;Single bit-flip
i;fftw.cpp;53;1.6485981941223145;0-2;Single bit-flip
i;fftw.cpp;53;1.3765771389007568;0-2;Single bit-flip
out;fftw.cpp;42;1.7542991638183594;0-2;Single bit-flip
size;fftw.cpp;44;0.5120360851287842;0-2;Single bit-flip
size;fftw.cpp;44;1.1786465644836426;0-2;Single bit-flip
out;fftw.cpp;42;2.1410861015319824;0-2;Single bit-flip
size;fftw.cpp;44;0.9438045024871826;0-2;Single bit-flip
size;fftw.cpp;44;0.5599169731140137;0-2;Single bit-flip
out;fftw.cpp;42;0.49669885635375977;0-2;Single bit-flip
out;fftw.cpp;42;1.0254871845245361;0-2;Single bit-flip
i;fftw.cpp;53;1.0699009895324707;0-2;Single bit-flip
size;fftw.cpp;44;1.3935165405273438;0-2;Single bit-flip
i;fftw.cpp;53;1.8532907962799072;0-2;Single bit-flip
size;fftw.cpp;44;2.5744097232818604;0-2;Single bit-flip
size;fftw.cpp;44;1.0773406028747559;0-2;Single bit-flip
out;fftw.cpp;42;1.0196397304534912;0-2;Single bit-flip
out;fftw.cpp;42;1.0473699569702148;0-2;Single bit-flip
size;fftw.cpp;44;0.6286201477050781;0-2;Single bit-flip
out;fftw.cpp;42;0.6076242923736572;0-2;Single bit-flip
size;fftw.cpp;44;1.8983509540557861;0-2;Single bit-flip
size;fftw.cpp;44;1.2475755214691162;0-2;Single bit-flip
out;fftw.cpp;42;1.5760467052459717;0-2;Single bit-flip
i;fftw.cpp;53;2.0377936363220215;0-2;Single bit-flip
out;fftw.cpp;42;1.6270556449890137;0-2;Single bit-flip
size;fftw.cpp;44;1.5473461151123047;0-2;Single bit-flip
sf;vsnprintf.c;96;1.5582761764526367;0-2;Single bit-flip
i;fftw.cpp;53;1.9609620571136475;0-2;Single bit-flip
size;fftw.cpp;44;1.0676491260528564;0-2;Single bit-flip
i;fftw.cpp;53;0.6500458717346191;0-2;Single bit-flip
size;fftw.cpp;44;1.0616028308868408;0-2;Single bit-flip
i;fftw.cpp;53;1.240103006362915;0-2;Single bit-flip
out;fftw.cpp;42;0.9319915771484375;0-2;Single bit-flip
size;fftw.cpp;44;1.2337634563446045;0-2;Single bit-flip
out;fftw.cpp;42;1.928870439529419;0-2;Single bit-flip
out;fftw.cpp;42;2.049051523208618;0-2;Single bit-flip
size;fftw.cpp;44;1.1454648971557617;0-2;Single bit-flip
size;fftw.cpp;44;1.7497193813323975;0-2;Single bit-flip
size;fftw.cpp;44;2.042816638946533;0-2;Single bit-flip
workstart;vfprintf.c;1257;1.5601089000701904;0-2;Single bit-flip
out;fftw.cpp;42;1.8023560047149658;0-2;Single bit-flip
