Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;0.5353460311889648;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6151735782623291;0-2;Single bit-flip
_r_debug;dl-debug.c;37;0.6776304244995117;0-2;Single bit-flip
argv;fftw2t.cpp;40;0.7885706424713135;0-2;Single bit-flip
sigs;abort.c;53;1.2054059505462646;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8946688175201416;0-2;Single bit-flip
input;fftw2t.cpp;10;0.48381686210632324;0-2;Single bit-flip
_rtld_global_ro;rtld.c;259;0.9915914535522461;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6729533672332764;0-2;Single bit-flip
argv;fftw2t.cpp;40;0.6863796710968018;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.0418477058410645;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.0557162761688232;0-2;Single bit-flip
input;fftw2t.cpp;10;0.6709380149841309;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5397305488586426;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1499757766723633;0-2;Single bit-flip
argv;fftw2t.cpp;40;0.8665595054626465;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.6472258567810059;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8046917915344238;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.8444235324859619;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.4011878967285156;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.6745955944061279;0-2;Single bit-flip
out;fftw2t.cpp;42;1.0621004104614258;0-2;Single bit-flip
p;fftw2t.cpp;43;1.1184718608856201;0-2;Single bit-flip
p;fftw2t.cpp;43;1.8192873001098633;0-2;Single bit-flip
size;fftw2t.cpp;44;1.630742073059082;0-2;Single bit-flip
out;fftw2t.cpp;42;2.2592716217041016;0-2;Single bit-flip
size;fftw2t.cpp;44;0.8635833263397217;0-2;Single bit-flip
p;fftw2t.cpp;43;1.0833618640899658;0-2;Single bit-flip
out;fftw2t.cpp;42;0.44505858421325684;0-2;Single bit-flip
p;fftw2t.cpp;43;1.522650957107544;0-2;Single bit-flip
out;fftw2t.cpp;42;1.5887954235076904;0-2;Single bit-flip
size;fftw2t.cpp;44;2.2372283935546875;0-2;Single bit-flip
in;fftw2t.cpp;42;1.6525781154632568;0-2;Single bit-flip
p;fftw2t.cpp;43;1.8836088180541992;0-2;Single bit-flip
out;fftw2t.cpp;42;2.1435060501098633;0-2;Single bit-flip
_rtld_global;rtld.c;231;0.3333594799041748;0-2;Single bit-flip
out;fftw2t.cpp;42;1.828521966934204;0-2;Single bit-flip
p;fftw2t.cpp;43;1.7111005783081055;0-2;Single bit-flip
in;fftw2t.cpp;42;2.33479642868042;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;89;0.403857946395874;0-2;Single bit-flip
out;fftw2t.cpp;42;1.638336181640625;0-2;Single bit-flip
out;fftw2t.cpp;42;2.498018980026245;0-2;Single bit-flip
p;fftw2t.cpp;43;1.4404163360595703;0-2;Single bit-flip
size;fftw2t.cpp;44;1.9754352569580078;0-2;Single bit-flip
_IO_strn_jumps;vsnprintf.c;67;0.8116371631622314;0-2;Single bit-flip
p;fftw2t.cpp;43;1.428743839263916;0-2;Single bit-flip
in;fftw2t.cpp;42;1.5755503177642822;0-2;Single bit-flip
out;fftw2t.cpp;42;2.088547945022583;0-2;Single bit-flip
out;fftw2t.cpp;42;0.6094791889190674;0-2;Single bit-flip
in;fftw2t.cpp;42;1.6759822368621826;0-2;Single bit-flip
out;fftw2t.cpp;42;1.3156042098999023;0-2;Single bit-flip
out;fftw2t.cpp;42;2.1945197582244873;0-2;Single bit-flip
in;fftw2t.cpp;42;1.9031426906585693;0-2;Single bit-flip
p;fftw2t.cpp;43;0.8244295120239258;0-2;Single bit-flip
size;fftw2t.cpp;44;1.025940179824829;0-2;Single bit-flip
sf;vsnprintf.c;96;2.3594908714294434;0-2;Single bit-flip
in;fftw2t.cpp;42;0.9574646949768066;0-2;Single bit-flip
in;fftw2t.cpp;42;0.5154256820678711;0-2;Single bit-flip
in;fftw2t.cpp;42;1.351973533630371;0-2;Single bit-flip
in;fftw2t.cpp;42;1.2993659973144531;0-2;Single bit-flip
out;fftw2t.cpp;42;1.8374159336090088;0-2;Single bit-flip
