Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
size;fftw2t.cpp;44;0.9107129573822021;0-2;Single bit-flip
i;fftw2t.cpp;59;0.682476282119751;0-2;Single bit-flip
i;fftw2t.cpp;59;2.7841594219207764;0-2;Single bit-flip
size;fftw2t.cpp;44;0.9435775279998779;0-2;Single bit-flip
size;fftw2t.cpp;44;0.856644868850708;0-2;Single bit-flip
i;fftw2t.cpp;59;1.4696824550628662;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2518153190612793;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9628639221191406;0-2;Single bit-flip
i;fftw2t.cpp;59;1.6277456283569336;0-2;Single bit-flip
size;fftw2t.cpp;44;1.7595267295837402;0-2;Single bit-flip
size;fftw2t.cpp;44;1.512864351272583;0-2;Single bit-flip
size;fftw2t.cpp;44;0.44132041931152344;0-2;Single bit-flip
i;fftw2t.cpp;59;0.886887788772583;0-2;Single bit-flip
size;fftw2t.cpp;44;0.972071647644043;0-2;Single bit-flip
i;fftw2t.cpp;59;0.8738992214202881;0-2;Single bit-flip
i;fftw2t.cpp;59;1.0845835208892822;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7132682800292969;0-2;Single bit-flip
size;fftw2t.cpp;44;1.0245599746704102;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2975177764892578;0-2;Single bit-flip
out;fftw2t.cpp;42;1.6187198162078857;0-2;Single bit-flip
size;fftw2t.cpp;44;1.21563720703125;0-2;Single bit-flip
out;fftw2t.cpp;42;1.6363732814788818;0-2;Single bit-flip
out;fftw2t.cpp;42;2.700401782989502;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7715165615081787;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6597499847412109;0-2;Single bit-flip
out;fftw2t.cpp;42;2.019291400909424;0-2;Single bit-flip
i;fftw2t.cpp;59;1.6675844192504883;0-2;Single bit-flip
size;fftw2t.cpp;44;0.8285937309265137;0-2;Single bit-flip
size;fftw2t.cpp;44;2.221632719039917;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6995120048522949;0-2;Single bit-flip
out;fftw2t.cpp;42;2.2137444019317627;0-2;Single bit-flip
i;fftw2t.cpp;59;1.520740032196045;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7931418418884277;0-2;Single bit-flip
i;fftw2t.cpp;59;0.957787036895752;0-2;Single bit-flip
out;fftw2t.cpp;42;0.7064976692199707;0-2;Single bit-flip
size;fftw2t.cpp;44;1.5022907257080078;0-2;Single bit-flip
size;fftw2t.cpp;44;2.465914011001587;0-2;Single bit-flip
i;fftw2t.cpp;59;1.9736289978027344;0-2;Single bit-flip
i;fftw2t.cpp;59;0.8368535041809082;0-2;Single bit-flip
size;fftw2t.cpp;10;1.0465764999389648;0-2;Single bit-flip
out;fftw2t.cpp;42;2.3371050357818604;0-2;Single bit-flip
i;fftw2t.cpp;59;1.8395636081695557;0-2;Single bit-flip
size;fftw2t.cpp;44;1.2078814506530762;0-2;Single bit-flip
out;fftw2t.cpp;42;2.1404542922973633;0-2;Single bit-flip
size;fftw2t.cpp;44;1.0835371017456055;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6336474418640137;0-2;Single bit-flip
size;fftw2t.cpp;44;1.9331881999969482;0-2;Single bit-flip
out;fftw2t.cpp;42;1.8675823211669922;0-2;Single bit-flip
size;fftw2t.cpp;44;1.002805233001709;0-2;Single bit-flip
out;fftw2t.cpp;42;0.7876760959625244;0-2;Single bit-flip
i;fftw2t.cpp;59;2.52026104927063;0-2;Single bit-flip
i;fftw2t.cpp;59;1.5909740924835205;0-2;Single bit-flip
i;fftw2t.cpp;59;1.1498911380767822;0-2;Single bit-flip
i;fftw2t.cpp;59;1.6210551261901855;0-2;Single bit-flip
i;fftw2t.cpp;59;1.3865692615509033;0-2;Single bit-flip
out;fftw2t.cpp;42;1.5704505443572998;0-2;Single bit-flip
out;fftw2t.cpp;42;1.2011792659759521;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7914061546325684;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9625353813171387;0-2;Single bit-flip
out;fftw2t.cpp;42;1.695603847503662;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7164599895477295;0-2;Single bit-flip
size;fftw2t.cpp;44;1.346850872039795;0-2;Single bit-flip
out;fftw2t.cpp;42;1.1989977359771729;0-2;Single bit-flip
i;fftw2t.cpp;59;1.0220534801483154;0-2;Single bit-flip
size;fftw2t.cpp;44;0.9480984210968018;0-2;Single bit-flip
i;fftw2t.cpp;59;2.05871319770813;0-2;Single bit-flip
i;fftw2t.cpp;59;1.403493881225586;0-2;Single bit-flip
i;fftw2t.cpp;59;1.3130786418914795;0-2;Single bit-flip
size;fftw2t.cpp;44;1.238067626953125;0-2;Single bit-flip
i;fftw2t.cpp;59;1.9096927642822266;0-2;Single bit-flip
size;fftw2t.cpp;44;2.0825517177581787;0-2;Single bit-flip
size;fftw2t.cpp;44;1.595930576324463;0-2;Single bit-flip
size;fftw2t.cpp;44;0.9365231990814209;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6483416557312012;0-2;Single bit-flip
i;fftw2t.cpp;59;1.0564110279083252;0-2;Single bit-flip
size;fftw2t.cpp;44;0.8612625598907471;0-2;Single bit-flip
i;fftw2t.cpp;59;0.7751541137695312;0-2;Single bit-flip
i;fftw2t.cpp;59;1.1927752494812012;0-2;Single bit-flip
size;fftw2t.cpp;44;0.9384305477142334;0-2;Single bit-flip
size;fftw2t.cpp;44;1.365022897720337;0-2;Single bit-flip
size;fftw2t.cpp;44;1.314845323562622;0-2;Single bit-flip
out;fftw2t.cpp;42;0.711698055267334;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9490618705749512;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6536679267883301;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2739393711090088;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2816271781921387;0-2;Single bit-flip
size;fftw2t.cpp;44;2.3394393920898438;0-2;Single bit-flip
out;fftw2t.cpp;42;0.9331622123718262;0-2;Single bit-flip
size;fftw2t.cpp;44;0.689263105392456;0-2;Single bit-flip
out;fftw2t.cpp;42;1.0563366413116455;0-2;Single bit-flip
size;fftw2t.cpp;44;1.6212351322174072;0-2;Single bit-flip
size;fftw2t.cpp;44;0.8578786849975586;0-2;Single bit-flip
i;fftw2t.cpp;59;1.7012698650360107;0-2;Single bit-flip
i;fftw2t.cpp;59;2.4244444370269775;0-2;Single bit-flip
size;fftw2t.cpp;44;1.4161505699157715;0-2;Single bit-flip
i;fftw2t.cpp;59;0.8697550296783447;0-2;Single bit-flip
i;fftw2t.cpp;59;1.103515386581421;0-2;Single bit-flip
size;fftw2t.cpp;44;2.096665859222412;0-2;Single bit-flip
i;fftw2t.cpp;59;0.8623316287994385;0-2;Single bit-flip
i;fftw2t.cpp;59;1.839653491973877;0-2;Single bit-flip
i;fftw2t.cpp;59;1.3869349956512451;0-2;Single bit-flip
out;fftw2t.cpp;42;1.324427604675293;0-2;Single bit-flip
size;fftw2t.cpp;44;1.4495832920074463;0-2;Single bit-flip
size;fftw2t.cpp;44;1.9570050239562988;0-2;Single bit-flip
size;fftw2t.cpp;44;0.7937808036804199;0-2;Single bit-flip
_IO_strn_jumps;vsnprintf.c;67;0.8512532711029053;0-2;Single bit-flip
i;fftw2t.cpp;59;1.3941013813018799;0-2;Single bit-flip
size;fftw2t.cpp;44;1.686983585357666;0-2;Single bit-flip
i;fftw2t.cpp;59;1.9272880554199219;0-2;Single bit-flip
sf;vsnprintf.c;96;1.5057971477508545;0-2;Single bit-flip
out;fftw2t.cpp;42;1.23360013961792;0-2;Single bit-flip
size;fftw2t.cpp;44;2.3564538955688477;0-2;Single bit-flip
size;fftw2t.cpp;44;1.3033578395843506;0-2;Single bit-flip
i;fftw2t.cpp;59;2.208850622177124;0-2;Single bit-flip
position;fftw2t.cpp;27;1.1729004383087158;0-2;Single bit-flip
out;fftw2t.cpp;42;0.9131131172180176;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2790014743804932;0-2;Single bit-flip
out;fftw2t.cpp;42;0.7286911010742188;0-2;Single bit-flip
out;fftw2t.cpp;42;1.021740436553955;0-2;Single bit-flip
size;fftw2t.cpp;44;0.7704589366912842;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2420012950897217;0-2;Single bit-flip
size;fftw2t.cpp;44;2.591428279876709;0-2;Single bit-flip
i;fftw2t.cpp;59;2.6439602375030518;0-2;Single bit-flip
i;fftw2t.cpp;59;1.3943521976470947;0-2;Single bit-flip
out;fftw2t.cpp;42;1.7010588645935059;0-2;Single bit-flip
size;fftw2t.cpp;44;1.6755592823028564;0-2;Single bit-flip
size;fftw2t.cpp;44;1.2990736961364746;0-2;Single bit-flip
size;fftw2t.cpp;44;1.0818848609924316;0-2;Single bit-flip
out;fftw2t.cpp;42;1.9208030700683594;0-2;Single bit-flip
input;fftw2t.cpp;10;0.5797803401947021;0-2;Single bit-flip
i;fftw2t.cpp;59;1.0668463706970215;0-2;Single bit-flip
i;fftw2t.cpp;59;1.4756863117218018;0-2;Single bit-flip
size;fftw2t.cpp;44;2.0925331115722656;0-2;Single bit-flip
exponent;strtod_l.c;339;0.6470916271209717;0-2;Single bit-flip
out;fftw2t.cpp;42;1.8220040798187256;0-2;Single bit-flip
info;vfprintf.c;1636;1.5372376441955566;0-2;Single bit-flip
size;fftw2t.cpp;44;2.2948062419891357;0-2;Single bit-flip
position;fftw2t.cpp;27;0.47667527198791504;0-2;Single bit-flip
size;fftw2t.cpp;44;1.2147464752197266;0-2;Single bit-flip
i;fftw2t.cpp;59;0.86216139793396;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2670576572418213;0-2;Single bit-flip
i;fftw2t.cpp;59;2.945880174636841;0-2;Single bit-flip
out;fftw2t.cpp;42;2.1832525730133057;0-2;Single bit-flip
size;fftw2t.cpp;44;1.5304465293884277;0-2;Single bit-flip
size;fftw2t.cpp;44;2.5920543670654297;0-2;Single bit-flip
i;fftw2t.cpp;59;1.5596349239349365;0-2;Single bit-flip
i;fftw2t.cpp;59;1.0909132957458496;0-2;Single bit-flip
position;fftw2t.cpp;27;0.6704952716827393;0-2;Single bit-flip
out;fftw2t.cpp;42;1.3835828304290771;0-2;Single bit-flip
i;fftw2t.cpp;59;0.7849977016448975;0-2;Single bit-flip
size;fftw2t.cpp;44;1.022779941558838;0-2;Single bit-flip
size;fftw2t.cpp;44;1.8787317276000977;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9936108589172363;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9613018035888672;0-2;Single bit-flip
_IO_strn_jumps;vsnprintf.c;67;1.1616618633270264;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6891412734985352;0-2;Single bit-flip
size;fftw2t.cpp;44;1.3001155853271484;0-2;Single bit-flip
size;fftw2t.cpp;44;0.8238930702209473;0-2;Single bit-flip
i;fftw2t.cpp;59;1.549821376800537;0-2;Single bit-flip
i;fftw2t.cpp;59;1.38149094581604;0-2;Single bit-flip
size;fftw2t.cpp;44;1.3480496406555176;0-2;Single bit-flip
i;fftw2t.cpp;59;1.588674783706665;0-2;Single bit-flip
i;fftw2t.cpp;59;1.6583917140960693;0-2;Single bit-flip
size;fftw2t.cpp;44;1.1560382843017578;0-2;Single bit-flip
size;fftw2t.cpp;44;1.393434762954712;0-2;Single bit-flip
i;fftw2t.cpp;59;1.90035080909729;0-2;Single bit-flip
size;fftw2t.cpp;44;0.6458249092102051;0-2;Single bit-flip
size;fftw2t.cpp;44;1.7890000343322754;0-2;Single bit-flip
i;fftw2t.cpp;59;0.8581736087799072;0-2;Single bit-flip
i;fftw2t.cpp;59;1.2031867504119873;0-2;Single bit-flip
i;fftw2t.cpp;59;0.9945979118347168;0-2;Single bit-flip
size;fftw2t.cpp;44;1.7541003227233887;0-2;Single bit-flip
