Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;5.824755430221558;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;10.543097019195557;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;466;2.1208784580230713;0-13;Single bit-flip
__malloc_initialize_hook;malloc.c;1856;11.391351699829102;0-13;Single bit-flip
ss7;../sysdeps/ieee754/dbl-64/dosincos.h;63;1.9811763763427734;0-13;Single bit-flip
w;../sysdeps/ieee754/dbl-64/s_sin.c;772;2.912783145904541;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;468;7.787557125091553;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;12.092540264129639;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;2.0571370124816895;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/w_exp.c;24;5.461600065231323;0-13;Single bit-flip
fine;../sysdeps/ieee754/dbl-64/uexp.tbl;1271;5.917656898498535;0-13;Single bit-flip
__malloc_initialize_hook;malloc.c;1856;10.600996732711792;0-13;Single bit-flip
__malloc_initialize_hook;malloc.c;1856;6.244159936904907;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;468;6.910550355911255;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/w_exp.c;24;2.779841661453247;0-13;Single bit-flip
rtld_total_time;rtld.c;417;1.034487009048462;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;12.370803356170654;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;580;6.484755516052246;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;770;7.626956462860107;0-13;Single bit-flip
x;../sysdeps/ieee754/dbl-64/s_sin.c;466;11.031105756759644;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;582;2.7896358966827393;0-13;Single bit-flip
cor;../sysdeps/ieee754/dbl-64/s_sin.c;468;2.427158832550049;0-13;Single bit-flip
__malloc_initialize_hook;malloc.c;1856;9.271050453186035;0-13;Single bit-flip
