bitflips:;457
SDCs:;437
Crashes:;20
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
Single bit-flip;437;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Single bit-flip;20;4.576659038901601

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;101;101;cor;../sysdeps/ieee754/dbl-64/s_sin.c;582
100.0;62;62;cor;../sysdeps/ieee754/dbl-64/s_sin.c;468
100.0;28;28;x;../sysdeps/ieee754/dbl-64/s_sin.c;580
100.0;23;23;x;../sysdeps/ieee754/dbl-64/w_exp.c;24
100.0;21;21;x;../sysdeps/ieee754/dbl-64/s_sin.c;466
100.0;11;11;w;../sysdeps/ieee754/dbl-64/s_sin.c;772
100.0;11;11;__malloc_initialize_hook;malloc.c;1856
100.0;9;9;disallow_malloc_check;hooks.c;68
100.0;8;8;x;../sysdeps/ieee754/dbl-64/s_sin.c;770
100.0;7;7;narenas;arena.c;77
100.0;7;7;cor;../sysdeps/ieee754/dbl-64/s_sin.c;300
100.0;7;7;check_action;malloc.c;1880
100.0;7;7;free_list;arena.c;78
100.0;7;7;_r_debug;dl-debug.c;37
100.0;6;6;list_lock;arena.c;92
45.45454545454545;11;5;__after_morecore_hook;malloc.c;1871
100.0;5;5;__memalign_hook;malloc.c;1868
83.33333333333334;6;5;main_arena;malloc.c;1753
100.0;5;5;x;../sysdeps/ieee754/dbl-64/s_sin.c;298
100.0;5;5;using_malloc_checking;hooks.c;53
100.0;4;4;orig;../sysdeps/ieee754/dbl-64/s_sin.c;770
100.0;4;4;dumped_main_arena_end;malloc.c;1766
80.0;5;4;thread_arena;arena.c;69
100.0;4;4;__malloc_hook;malloc.c;1863
100.0;4;4;dumped_main_arena_start;malloc.c;1765
100.0;4;4;__func__;malloc.c;0
100.0;4;4;__libc_malloc_initialized;arena.c;95
100.0;3;3;mp_;malloc.c;1775
100.0;3;3;dd;../sysdeps/ieee754/dbl-64/dosincos.c;62
100.0;3;3;audit_list;rtld.c;142
100.0;3;3;sn;../sysdeps/ieee754/dbl-64/s_sin.c;200
100.0;3;3;free_list_lock;arena.c;76
100.0;3;3;mxcsr;../sysdeps/i386/fpu/fenv_private.h;427
100.0;2;2;__GI___libc_enable_secure;../elf/dl-sysdep.c;56
100.0;2;2;a;../sysdeps/ieee754/dbl-64/s_sin.c;772
40.0;5;2;__morecore;malloc.c;400
100.0;2;2;three51;../sysdeps/ieee754/dbl-64/uexp.h;65
100.0;2;2;any_debug;rtld.c;2334
100.0;2;2;p3;../sysdeps/ieee754/dbl-64/uexp.h;62
100.0;2;2;cc2;../sysdeps/ieee754/dbl-64/dosincos.h;65
100.0;2;2;ssn;../sysdeps/ieee754/dbl-64/dosincos.c;63
100.0;2;2;hp0;../sysdeps/ieee754/dbl-64/dosincos.h;75
100.0;2;2;rtld_total_time;rtld.c;417
100.0;2;2;_dl_argc;rtld.c;82
100.0;2;2;inf;../sysdeps/ieee754/dbl-64/uexp.h;54
100.0;2;2;big;../sysdeps/ieee754/dbl-64/dosincos.h;73
100.0;2;2;perturb_byte;malloc.c;1885
100.0;2;2;ss3;../sysdeps/ieee754/dbl-64/dosincos.h;59
100.0;1;1;w;../sysdeps/ieee754/dbl-64/s_sin.c;869
20.0;5;1;__realloc_hook;malloc.c;1865
100.0;1;1;s3;../sysdeps/ieee754/dbl-64/dosincos.h;58
100.0;1;1;library_path;rtld.c;834
100.0;1;1;dd2;../sysdeps/ieee754/dbl-64/dosincos.c;62
100.0;1;1;fine;../sysdeps/ieee754/dbl-64/uexp.tbl;1271
100.0;1;1;__libc_multiple_libcs;../elf/dl-sysdep.c;58
100.0;1;1;version_info;rtld.c;838
100.0;1;1;ccs;../sysdeps/ieee754/dbl-64/s_sin.c;468
100.0;1;1;aligned_heap_area;arena.c;395
100.0;1;1;ss7;../sysdeps/ieee754/dbl-64/dosincos.h;63
100.0;1;1;_rtld_global_ro;rtld.c;259
100.0;1;1;c6;../sysdeps/ieee754/dbl-64/dosincos.h;68
100.0;1;1;relocate_time;rtld.c;306
100.0;1;1;cc8;../sysdeps/ieee754/dbl-64/dosincos.h;71
100.0;1;1;hp1;../sysdeps/ieee754/dbl-64/dosincos.h;76
100.0;1;1;c4;../sysdeps/ieee754/dbl-64/dosincos.h;66
100.0;1;1;cs;../sysdeps/ieee754/dbl-64/s_sin.c;152
100.0;1;1;file_size;rtld.c;885
100.0;1;1;coar;../sysdeps/ieee754/dbl-64/uexp.tbl;910
100.0;1;1;log2e;../sysdeps/ieee754/dbl-64/uexp.h;59

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
54.54545454545454;11;6;__after_morecore_hook;malloc.c;1871
80.0;5;4;__realloc_hook;malloc.c;1865
100.0;4;4;__free_hook;malloc.c;1861
60.0;5;3;__morecore;malloc.c;400
16.666666666666664;6;1;main_arena;malloc.c;1753
100.0;1;1;oldsize;malloc.c;4262
20.0;5;1;thread_arena;arena.c;69
